Close Date,Created Date,New Logo,Compagnie Region,Type,Stage,Billing Plan,Opportunity ID (18 Digit), ACV , Discount Amount , Amount , Net Amount 
7/5/17,12/28/16,1,North America,Partner - OnPremise Product,Closed Lost,Annual,38019216332577400000,49000,,49000,49000
1/26/17,1/12/17,0,North America,Direct - Cloud Product,Closed Lost,3 Years,56428395456185900000,,,200000,200000
3/15/17,1/19/17,0,North America,Partner - Cloud Product,Closed Lost,3 Years,93328192386223000000,363000,,750000,750000
3/28/17,1/19/17,0,North America,Partner - Cloud Product,Closed Lost,3 Years,73379632452951700000,73098,,147000,147000
2/21/17,1/23/17,0,North America,Direct - Cloud Product,Closed Lost,3 Years,43192483601390700000,150000,,450000,450000
3/6/17,1/24/17,1,North America,Partner - Cloud Product,Closed Won - Paid,Annual,83787171736453800000,30039,6600,22000,15400
3/1/17,1/27/17,0,North America,Partner - Cloud Product,Closed Lost,3 Years,79824779873106100000,100100,,300300,300300
3/31/17,1/30/17,1,North America,Partner - Cloud Product,Closed Won - Paid,3 Years,79639007355616600000,38173,       ,66000,66000
7/24/17,2/2/17,1,North America,Partner - Cloud Product,Closed Lost,3 Years,83935158180185600000,34030,11220,66000,54780
3/9/17,2/11/17,0,North America,Partner - Cloud Product,Closed Lost,3 Years,95260718996991000000,144000,,432000,432000
2/22/17,2/14/17,0,North America,Partner - Cloud Product,Closed Lost,3 Years,47450241517696200000,23333,,70000,70000
7/26/17,9/14/15,1,North America,Partner - Cloud Product,Closed Lost,Annual,77395707142795700000,225000,       ,225000,225000
1/3/17,4/6/16,0,North America,Partner - OnPremise Product,Closed Lost,Annual,55509014297000900000,75000,,75000,75000
1/26/17,8/31/16,0,North America,Partner - Cloud Product,Closed Lost,3 Years,16193570709175600000,,,66000,66000
5/17/17,7/14/16,1,North America,Partner - OnPremise Product,Closed Lost,3 Years,31234687039787100000,22000,,66000,66000
7/5/17,8/15/16,1,North America,Partner - Cloud Product,Closed Lost,3 Years,99382688839645200000,202000,       ,225000,225000
1/26/17,8/18/16,0,North America,Partner - Cloud Product,Closed Lost,Annual,65008558422334800000,,,175500,175500
1/18/17,10/21/16,0,North America,Partner - OnPremise Product,Closed Lost,Annual,18203318493541100000,22000,,22000,22000
6/30/17,10/21/16,1,North America,Partner - Cloud Product,Closed Won - Paid,3 Years,63845383709046100000,159580,47250,225000,177750
8/29/17,5/8/17,1,North America,Partner - OnPremise Product,Closed Won - Not Paid,3 Years,33655288775260500000,54750,60750,225000,164250
7/19/17,5/11/17,1,North America,Partner - Cloud Product,Closed Lost,3 Years,48389160798216600000,173200,       ,225000,225000
7/19/17,5/14/17,1,North America,Partner - Cloud Product,Closed Lost,3 Years,33075620846205100000,55000,       ,96000,96000
8/9/17,5/19/17,1,North America,Partner - Cloud Product,Closed Won - Not Paid,3 Years,13071585479390000000,120280,108300,285000,176700
7/18/17,5/25/17,1,North America,Direct - OnPremise Product,Closed Lost,3 Years,10064418756915400000,22000,       ,66000,66000
5/10/17,5/25/17,1,North America,Direct - Cloud Product,Closed Won - Paid,3 Years,52894407336661400000,122435,92250,225000,132750
6/29/17,6/7/17,1,North America,Partner - Cloud Product,Closed Won - Paid,3 Years,29263899612735100000,74700,123750,225000,101250
3/23/17,2/27/17,1,North America,Partner - Cloud Product,Closed Won - Paid,3 Years,60855008092640600000,65165,25800,157500,131700
5/26/17,3/6/17,1,North America,Partner - Cloud Product,Closed Lost,3 Years,22261059965329500000,232650,236250,525000,288750
4/18/17,3/10/17,1,North America,Partner - OnPremise Product,Closed Lost,,18209600382284600000,100000,,100000,100000
3/31/17,3/24/17,1,North America,Partner - OnPremise Product,Closed Won - Paid,3 Years,47502357689056300000,26240,17280,96000,78720
3/31/17,3/28/17,1,North America,Direct - Cloud Product,Closed Won - Not Paid,Annual,95732348752342000000,32750,4400,22000,17600
5/8/17,4/1/17,1,North America,Partner - OnPremise Product,Closed Won - Not Paid,2 Years,33837779002976200000,42500,20000,105000,85000
7/26/17,4/6/17,1,North America,Partner - Cloud Product,Closed Lost,Annual,51655321626495100000,79125,9375,37500,28125
7/6/17,4/7/17,1,North America,Partner - OnPremise Product,Closed Won - Not Paid,3 Years,96272136684404200000,37500,45000,157500,112500
6/28/17,4/13/17,1,North America,Partner - Cloud Product,Closed Lost,3 Years,72162972833096000000,419000,       ,750000,750000
5/10/17,4/18/17,1,North America,Partner - Cloud Product,Closed Lost,3 Years,15298655179450300000,50600,       ,67200,67200
7/26/17,6/28/17,1,North America,Partner - Cloud Product,Closed Lost,3 Years,26547917862154700000,41000,       ,66000,66000
8/22/17,7/31/17,1,North America,Partner - OnPremise Product,Closed Lost,,26552910454187300000,60000,15000,75000,60000
6/27/17,6/2/17,1,North America,Partner - Cloud Product,Closed Won - Paid,3 Years,33761880141819300000,34390,13951,67200,53249
6/13/17,6/5/17,1,North America,Partner - Cloud Product,Closed Lost,3 Years,30826930765281000000,32000,       ,96000,96000
8/9/17,6/8/17,1,North America,Direct - Cloud Product,Closed Won - Not Paid,Annual,92395211812851200000,23989,9128,22000,12872
6/21/17,2/23/17,1,North America,Partner - Cloud Product,Closed Won - Paid,3 Years,78682398973766600000,44470,16800,67200,50400
5/31/17,2/27/17,1,North America,Partner - OnPremise Product,Closed Won - Paid,Annual,83392443782359200000,22000,       ,22000,22000
3/31/17,3/1/17,1,North America,Partner - Cloud Product,Closed Won - Paid,3 Years,28499049184183200000,36941,84000,147000,63000
3/17/17,3/2/17,1,North America,Partner - Cloud Product,Closed Won - Paid,Annual,97885305758171400000,30285,6800,22400,15600
6/30/17,3/10/17,1,North America,Partner - Cloud Product,Closed Won - Paid,4 Years,66732760029741600000,33650,68600,137200,68600
6/16/17,3/28/17,1,North America,Partner - Cloud Product,Closed Won - Paid,3 Years,19737317742727400000,32800,13200,66000,52800
7/26/17,4/12/17,1,North America,Partner - OnPremise Product,Closed Lost,3 Years,25211683406048500000,20000,6000,66000,60000
5/19/17,4/18/17,1,North America,Direct - Cloud Product,Closed Won - Paid,3 Years,47101072421765600000,32216,17317,67200,49883
5/17/17,4/19/17,1,North America,Partner - OnPremise Product,Closed Won - Paid,3 Years,95344700484975400000,17600,13200,66000,52800
6/16/17,4/26/17,1,North America,Partner - Cloud Product,Closed Won - Paid,3 Years,95509909814356900000,74700,123750,225000,101250
6/15/17,4/26/17,1,North America,Partner - Cloud Product,Closed Won - Paid,3 Years,50886785316087000000,35750,33600,96000,62400
5/24/17,5/2/17,1,North America,Partner - Cloud Product,Closed Won - Paid,3 Years,62705606364104700000,34720,13440,67200,53760
8/4/17,6/20/17,1,North America,Partner - Cloud Product,Closed Won - Not Paid,3 Years,96329657015973500000,60900,44100,147000,102900
7/26/17,6/23/17,1,North America,Partner - Cloud Product,Closed Lost,,12326956427450600000,34720,4480,22400,17920
8/22/17,7/13/17,1,North America,Partner - Cloud Product,Closed Won - Not Paid,3 Years,97568561820020800000,38225,29280,96000,66720
8/9/17,8/2/17,1,North America,Partner - Cloud Product,Closed Won - Not Paid,3 Years,92337342312930600000,49500,9600,96000,86400
12/7/16,11/7/16,0,North America,Partner - OnPremise Product,Closed Lost,,94485610286016500000,22000,,22000,22000
12/15/16,11/7/16,1,North America,Direct - Cloud Product,Closed Won - Paid,3 Years,93708131883586000000,32504,15000,67200,52200
3/13/17,11/7/16,1,North America,Direct - OnPremise Product,Closed Won - Paid,Annual,71660858703816000000,22000,,22000,22000
12/30/16,11/15/16,1,North America,Partner - OnPremise Product,Closed Won - Paid,Annual,11196416427852800000,19800,2200,22000,19800
12/21/16,11/16/16,1,North America,Partner - OnPremise Product,Closed Won - Paid,3 Years,78069396016304500000,29400,58800,147000,88200
12/30/16,11/22/16,1,North America,Partner - Cloud Product,Closed Won - Paid,3 Years,42591140180166400000,38666,28800,96000,67200
12/15/16,12/1/16,1,North America,Partner - OnPremise Product,Closed Won - Paid,3 Years,62977378573119900000,21440,31680,96000,64320
12/16/16,12/2/16,1,North America,Partner - Cloud Product,Closed Won - Paid,3 Years,11791197519309000000,50313,51450,147000,95550
3/30/17,12/7/16,1,North America,Partner - Cloud Product,Closed Won - Paid,3 Years,49170937263012900000,34722,38400,96000,57600
3/27/17,12/8/16,1,North America,Partner - Cloud Product,Closed Won - Paid,3 Years,39519367819995500000,38666,28800,96000,67200
12/30/16,12/20/16,1,North America,Partner - OnPremise Product,Closed Won - Paid,3 Years,41000864363046100000,16500,16500,66000,49500
12/30/16,12/28/16,1,North America,Direct - Cloud Product,Closed Won - Paid,3 Years,96711715352560400000,38666,28800,96000,67200
6/30/17,1/17/17,1,North America,Partner - Cloud Product,Closed Won - Not Paid,3 Years,97913761020111800000,56550,51450,147000,95550
2/27/17,2/1/17,1,North America,Partner - OnPremise Product,Closed Won - Paid,3 Years,14933904282239900000,20000,6000,66000,60000
3/31/17,2/15/17,1,North America,Partner - Cloud Product,Closed Won - Paid,3 Years,79588286027200300000,32011,15000,66000,51000
3/20/17,2/15/17,1,North America,Partner - Cloud Product,Closed Won - Paid,2 Years,33727873447204200000,30285,13600,44800,31200
4/6/17,2/15/17,0,North America,Partner - OnPremise Product,Closed Lost,Annual,32196644966483300000,32000,,32000,32000
8/25/15,8/25/15,0,North America,Partner - OnPremise Product,Closed Won - Paid,Annual,42495381757663500000,17900,,17900,17900
8/5/15,8/4/15,0,North America,Partner - OnPremise Product,Closed Lost,,73041991718989100000,17900,,17900,17900
9/2/15,8/10/15,0,North America,Partner - OnPremise Product,Closed Lost,,59201072755597600000,       ,,       ,       
